iter	Passed	Remaining
421	2083	2854
422	2086	2846
423	2090	2839
424	2093	2831
425	2097	2826
426	2101	2819
427	2105	2813
428	2108	2806
429	2112	2800
430	2115	2793
431	2118	2785
432	2121	2778
433	2126	2773
434	2129	2766
435	2132	2758
436	2135	2751
437	2138	2744
438	2142	2738
439	2148	2734
440	2152	2727
441	2157	2723
442	2162	2718
443	2165	2712
444	2171	2707
445	2174	2701
446	2178	2695
447	2182	2688
448	2186	2683
449	2189	2676
450	2193	2669
451	2195	2662
452	2199	2655
453	2202	2648
454	2205	2642
455	2208	2635
456	2212	2628
457	2217	2624
458	2220	2617
459	2223	2609
460	2226	2602
461	2232	2599
462	2235	2592
463	2238	2585
464	2241	2578
465	2246	2574
466	2249	2567
467	2252	2560
468	2255	2553
469	2259	2547
470	2263	2542
471	2266	2535
472	2269	2528
473	2273	2522
474	2277	2517
475	2280	2510
476	2284	2505
477	2287	2498
478	2293	2495
479	2298	2489
480	2302	2484
481	2308	2481
482	2312	2475
483	2316	2469
484	2322	2465
485	2326	2460
486	2330	2455
487	2335	2450
488	2340	2445
489	2345	2440
490	2350	2436
491	2355	2432
492	2359	2426
493	2363	2421
494	2368	2416
495	2372	2410
496	2376	2405
497	2382	2401
498	2386	2396
499	2390	2390
500	2397	2387
501	2402	2383
502	2407	2378
503	2413	2374
504	2417	2369
505	2423	2366
506	2429	2362
507	2433	2357
508	2439	2353
509	2444	2348
510	2449	2343
511	2452	2337
512	2457	2333
513	2460	2326
514	2463	2319
515	2466	2313
516	2470	2308
517	2473	2301
518	2476	2295
519	2479	2288
520	2482	2282
521	2487	2278
522	2492	2273
523	2497	2268
524	2502	2264
525	2507	2259
526	2511	2254
527	2517	2250
528	2521	2245
529	2527	2240
530	2531	2235
531	2535	2230
532	2541	2226
533	2545	2221
534	2550	2216
535	2556	2213
536	2561	2208
537	2566	2203
538	2572	2200
539	2576	2194
540	2581	2190
541	2588	2187
542	2593	2182
543	2600	2180
544	2605	2174
545	2609	2169
546	2615	2166
547	2620	2161
548	2626	2157
549	2634	2155
550	2638	2150
551	2645	2146
552	2648	2141
553	2652	2135
554	2656	2129
555	2661	2125
556	2665	2119
557	2668	2113
558	2672	2108
559	2676	2102
560	2679	2096
561	2682	2090
562	2686	2085
563	2692	2081
564	2695	2074
565	2698	2068
566	2704	2065
567	2707	2059
568	2711	2053
569	2714	2047
570	2720	2043
571	2723	2037
572	2726	2031
573	2729	2025
574	2735	2021
575	2738	2015
576	2741	2009
577	2744	2003
578	2749	1999
579	2752	1993
580	2755	1987
581	2758	1981
582	2765	1977
583	2768	1972
584	2771	1966
585	2774	1960
586	2780	1955
587	2783	1950
588	2786	1944
589	2789	1938
590	2794	1934
591	2797	1928
592	2800	1922
593	2804	1916
594	2810	1913
595	2816	1909
596	2820	1903
597	2825	1899
598	2829	1894
599	2832	1888
600	2836	1883
601	2841	1878
602	2844	1872
603	2847	1866
604	2850	1860
605	2855	1856
606	2858	1850
607	2861	1844
608	2864	1838
609	2869	1834
610	2872	1829
611	2875	1823
612	2878	1817
613	2884	1813
614	2887	1807
615	2891	1802
616	2893	1796
617	2898	1791
618	2902	1786
619	2905	1780
620	2909	1775
621	2914	1771
622	2918	1765
623	2921	1760
624	2924	1754
625	2930	1750
626	2933	1745
627	2936	1739
628	2939	1733
629	2945	1729
630	2948	1724
631	2951	1718
632	2954	1713
633	2960	1709
634	2963	1703
635	2966	1697
636	2969	1692
637	2975	1688
638	2979	1683
639	2982	1677
640	2986	1672
641	2993	1669
642	2997	1664
643	3002	1659
644	3006	1654
645	3010	1649
646	3013	1644
647	3020	1640
648	3024	1635
649	3028	1630
650	3035	1627
651	3040	1622
652	3044	1617
653	3051	1614
654	3054	1609
655	3057	1603
656	3061	1598
657	3065	1593
658	3068	1587
659	3071	1582
660	3074	1576
661	3080	1572
662	3084	1568
663	3088	1562
664	3092	1557
665	3096	1552
666	3099	1547
667	3102	1542
668	3106	1536
669	3110	1532
670	3113	1526
671	3117	1521
672	3122	1517
673	3126	1512
674	3129	1506
675	3132	1501
676	3136	1496
677	3140	1491
678	3143	1486
679	3146	1480
680	3150	1475
681	3155	1471
682	3158	1465
683	3161	1460
684	3165	1455
685	3168	1450
686	3172	1445
687	3175	1439
688	3179	1435
689	3185	1431
690	3191	1427
691	3198	1423
692	3204	1419
693	3212	1416
694	3216	1411
695	3219	1406
696	3225	1401
697	3228	1396
698	3230	1391
699	3234	1386
700	3237	1381
701	3242	1376
702	3245	1371
703	3248	1365
704	3254	1361
705	3257	1356
706	3260	1351
707	3264	1346
708	3269	1341
709	3273	1336
710	3276	1331
711	3279	1326
712	3285	1322
713	3289	1317
714	3292	1312
715	3295	1307
716	3301	1303
717	3304	1297
718	3307	1292
719	3310	1287
720	3315	1283
721	3319	1277
722	3324	1273
723	3328	1268
724	3333	1264
725	3336	1259
726	3338	1253
727	3343	1249
728	3349	1245
729	3352	1240
730	3355	1234
731	3361	1230
732	3364	1225
733	3367	1220
734	3370	1215
735	3375	1210
736	3379	1205
737	3382	1200
738	3385	1195
739	3391	1191
740	3395	1186
741	3398	1181
742	3402	1176
743	3406	1172
744	3410	1167
745	3413	1162
746	3417	1157
747	3422	1152
748	3425	1147
749	3428	1142
750	3432	1137
751	3437	1133
752	3440	1128
753	3443	1123
754	3447	1118
755	3452	1114
756	3455	1109
757	3459	1104
758	3464	1100
759	3468	1095
760	3472	1090
761	3475	1085
762	3480	1081
763	3483	1076
764	3486	1071
765	3489	1066
766	3495	1061
767	3498	1056
768	3501	1051
769	3504	1046
770	3510	1042
771	3513	1037
772	3517	1032
773	3519	1027
774	3525	1023
775	3529	1018
776	3532	1013
777	3535	1008
778	3542	1004
779	3545	1000
780	3548	995
781	3551	990
782	3557	986
783	3560	981
784	3564	976
785	3568	971
786	3572	966
787	3575	961
788	3578	957
789	3581	952
790	3587	947
791	3590	943
792	3594	938
793	3598	933
794	3602	929
795	3605	924
796	3609	919
797	3615	915
798	3618	910
799	3622	905
800	3625	900
801	3631	896
802	3634	891
803	3637	886
804	3640	881
805	3645	877
806	3648	872
807	3651	867
808	3654	862
809	3663	859
810	3668	854
811	3672	850
812	3677	845
813	3681	841
814	3685	836
815	3691	832
816	3694	827
817	3697	822
818	3700	817
819	3706	813
820	3710	808
821	3713	804
822	3716	799
823	3721	794
824	3726	790
825	3730	785
826	3735	781
827	3740	777
828	3743	772
829	3747	767
830	3753	763
831	3756	758
832	3759	753
833	3762	748
834	3768	744
835	3771	739
836	3774	735
837	3777	730
838	3783	726
839	3786	721
840	3789	716
841	3793	711
842	3799	707
843	3803	703
844	3806	698
845	3813	694
846	3816	689
847	3819	684
848	3822	679
849	3828	675
850	3832	670
851	3835	666
852	3838	661
853	3843	657
854	3846	652
855	3850	647
856	3853	642
857	3859	638
858	3862	633
859	3865	629
860	3868	624
861	3874	620
862	3879	615
863	3884	611
864	3891	607
865	3895	602
866	3899	598
867	3906	594
868	3910	589
869	3915	585
870	3920	580
871	3924	576
872	3927	571
873	3933	567
874	3936	562
875	3939	557
876	3942	552
877	3949	548
878	3952	544
879	3955	539
880	3959	534
881	3965	530
882	3967	525
883	3970	521
884	3974	516
885	3979	512
886	3983	507
887	3989	503
888	3993	498
889	3997	494
890	4000	489
891	4006	485
892	4009	480
893	4013	475
894	4015	471
895	4021	466
896	4024	462
897	4027	457
898	4030	452
899	4036	448
900	4039	443
901	4042	439
902	4045	434
903	4050	430
904	4054	425
905	4057	421
906	4060	416
907	4066	412
908	4070	407
909	4073	402
910	4076	398
911	4081	393
912	4085	389
913	4088	384
914	4091	380
915	4096	375
916	4100	371
917	4102	366
918	4106	361
919	4111	357
920	4114	352
921	4117	348
922	4120	343
923	4124	339
924	4127	334
925	4130	330
926	4133	325
927	4137	321
928	4142	316
929	4145	311
930	4148	307
931	4151	302
932	4157	298
933	4159	293
934	4163	289
935	4166	284
936	4171	280
937	4175	276
938	4179	271
939	4185	267
940	4190	262
941	4194	258
942	4200	253
943	4205	249
944	4210	245
945	4216	240
946	4221	236
947	4227	231
948	4233	227
949	4237	223
950	4245	218
951	4249	214
952	4252	209
953	4256	205
954	4261	200
955	4264	196
956	4267	191
957	4270	187
958	4274	182
959	4277	178
960	4281	173
961	4285	169
962	4296	165
963	4300	160
964	4303	156
965	4308	151
966	4311	147
967	4314	142
968	4318	138
969	4323	133
970	4328	129
971	4332	124
972	4339	120
973	4344	115
974	4351	111
975	4356	107
976	4360	102
977	4366	98
978	4369	93
979	4372	89
980	4376	84
981	4383	80
982	4387	75
983	4391	71
984	4397	66
985	4401	62
986	4405	58
987	4412	53
988	4415	49
989	4418	44
990	4421	40
991	4425	35
992	4428	31
993	4431	26
994	4435	22
995	4441	17
996	4444	13
997	4447	8
998	4450	4
999	4455	0
